label,weight,height
2633,188.5,64.0
2634,180.0,69.0
2635,147.0,69.5
2636,156.0,65.0
2637,136.0,64.0
2638,243.0,71.0
2639,142.5,62.25
2641,239.0,72.0
2642,172.0,65.0
2644,246.5,71.75
2646,150.0,66.5
2648,217.0,68.25
2649,99.0,62.0
2650,177.0,70.0
2651,48.0,50.0
2653,129.0,68.0
2654,175.0,67.0
2658,179.0,75.0
2659,131.0,66.0
2660,112.5,62.0
2662,149.0,5.4
2663,177.0,63.0
2666,146.0,65.0
2670,210.0,77.0
2671,128.0,66.0
2672,170.0,70.0
2673,139.0,62.0
2676,154.0,67.0
2678,275.0,74.0
2681,137.0,62.0
2682,140.5,67.0
2683,206.0,73.0
2684,181.0,60.0
2685,168.0,72.0
2686,153.0,63.0
2687,232.5,72.0
2688,176.0,69.0
2691,182.0,69.0
2694,196.0,66.75
2696,166.0,65.0
2697,229.0,68.0
2698,174.0,70.0
2701,132.0,66.0
2703,129.0,61.0
2705,196.0,73.0
2710,175.0,71.0
2712,109.0,61.0
2713,150.0,67.0
2714,235.0,70.5
2717,119.0,60.0
2718,119.0,61.0
2723,130.0,66.0
2726,162.0,64.0
2728,129.0,64.0
2730,107.0,65.0
2732,165.0,69.0
2733,202.0,61.0
2737,253.0,70.0
2741,237.0,65.0
2749,173.0,76.0
2755,125.0,65.0
2757,175.0,70.0
2759,176.0,68.0
2762,146.0,64.0
2764,165.0,72.0
2768,193.0,60.0
2771,131.0,55.0
2774,221.0,71.0
2778,155.0,64.0
2779,152.0,70.0
2782,173.0,71.0
2784,125.0,61.0
2785,181.0,74.0
2786,120.0,63.0
2793,122.0,63.0
2796,129.0,64.0
2798,130.0,69.0
2800,137.5,64.0
2807,235.0,77.5
2809,126.0,63.0
2811,184.0,66.0
2815,120.0,66.0
2818,179.5,75.5
2821,116.5,68.0
2823,134.0,63.0
2827,204.0,63.0
2830,209.0,64.0
2842,233.0,71.0
2843,166.0,66.0
2852,156.0,68.0
2853,168.0,66.0
2854,164.5,67.5
2857,150.0,68.0
2858,221.0,72.0
2859,159.0,66.0
2860,226.5,68.0
2862,171.0,61.0
2864,177.5,72.0
2872,147.0,67.0
2883,164.0,68.0
2891,144.0,64.0
2892,151.0,63.0
2893,189.0,72.0
2894,141.0,66.0
2896,117.5,59.5
2897,170.0,71.0
2898,195.0,71.0
2899,161.0,58.0
2900,176.0,64.0
2903,182.0,73.0
2904,143.01,63.0
2908,135.0,66.0
2909,184.0,61.0
2913,183.0,63.0
2918,161.5,68.0
2921,92.0,60.0
2925,136.0,63.5
2929,117.0,62.0
2931,149.0,67.0
2933,119.0,63.0
2938,145.5,65.0
2940,135.0,65.5
2941,246.0,73.0
2947,96.0,61.5
2949,172.0,66.0
2953,170.0,65.0
